,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
MaxEStateIndex,0.11745014426749072,0.050813433516478344,-0.1008703994523852,-0.019209371195199488,0.08451396166637869,0.07756836820116929,-0.10522765407138808,-0.02664047826134273,-0.14761361886398652,0.07482990458399072,0.03290721418990767,0.030672052316505143,0.04049045566397335,-0.02850720198003704,0.022686391668596633,-0.017521773996537964,-0.11565941428036697,-0.06640465802236711,-0.017677552240367055,0.04210593547856447,0.009284052316744245,0.0498320780280838,0.027799818383873298,-0.13141436082681965,0.03499752777962964,0.07222652484925654,0.052934602888527554,-0.06000430324202462,0.034471641212191775,-0.061280858019230645,0.13389935618974014,0.024512216212165486,-0.0951937089012402,-0.06298849665839305,-0.022611220923732432,-0.005983488552515889,0.1011550540464087,-0.04185302601655511,-0.029787059135787945,-0.050589302160856296,0.013540230270844777,0.06655009448816687,0.06416569744589404,-0.10973544172533828,-0.07009003747641049
MinEStateIndex,-0.13548675311485847,0.08126566819802464,-0.017771181886974713,-0.06652740958387737,-0.0445450063045265,-0.06637839222643024,0.14404212052357446,-0.020355757246313274,0.07274784293364112,-0.06928572959555424,-0.05459470198621319,-0.026050446600853556,-0.026803108171106003,0.0563847954579106,0.0600835962950169,0.051876101364147276,-0.017506613463718634,-0.025390157644106966,0.040601335805617166,0.028944364781840606,-0.005624035769532505,-0.07594500729000964,-0.027052019290127897,0.11932388799450103,-0.019049242427252627,0.1208449061942755,-0.024655648266003104,0.04801999853365396,0.016885470100850397,0.029514135138127146,0.006625805128277261,-0.06693068347930606,-0.0167667534029019,-0.03961382671261137,-0.002613284275250113,-0.09288060083223801,-0.06916845972337149,-0.02398587149676152,-0.01375889994132341,-0.0708838711532726,-0.01528718415182554,0.004006118957315451,-0.06393690137941559,-0.017112304017499205,-0.024030590402739586
MinAbsEStateIndex,0.10496483417901215,-0.15672126659632002,-0.041049326450013135,0.04524745117342252,0.011229509212225153,-0.08663368586895115,0.06911871519184176,0.03886031028716859,-0.019915610482442725,-0.0019596797437780866,0.00939834826316363,-0.00976771213685719,0.06538909282757599,-0.12359773559273621,-0.006778554644260991,-0.033585992553877876,-0.08212013677218942,-0.034246442532128794,-0.10093416738636886,0.06378720597332475,-0.06362176270726064,-0.01836778440336368,0.09384973575889306,-0.0357958554967706,-0.04097330979990234,-0.019544445569466516,0.11696685756941294,0.19556735263989117,0.13071682355315084,0.014356260841914131,-0.09337744567081718,-0.05928332684815917,0.03699422851282357,0.004243744687611923,-0.05956618898747595,-0.009533095537156805,0.004059964072326533,0.03620523266193113,0.13252314327599407,0.018477330493607853,-0.03216702839238089,-0.01212005436631806,-0.06187936224766507,0.0685183652283377,-0.0345053062699297
qed,-0.08354872245583769,-0.023251557830678227,-0.1123034752875407,-0.014191804604834475,-0.03280970761615014,0.14302685535686116,-0.16261558513559426,0.0035895608656936473,-0.06921813278906352,-0.03391066385592653,-0.09681851058472433,-0.08931951259562795,0.027110096009397816,-0.020563827779346136,0.07756835492128986,-0.02989658503276732,-0.03702818525097931,-0.016733569804737752,-0.1398191908940752,-0.00987816693417394,0.08942000215985346,0.13305026536196005,-0.09033284814189613,-0.007626974837195349,0.06535966269075674,-0.1180610074683822,-0.05698414297994523,-0.27077174689399347,0.12031867275203562,-0.020933147703127472,0.005805773188857805,0.08558297930345932,0.03181995426460765,0.007732327055351235,0.030323106414139673,0.07985799818581105,0.04183585681342403,-0.07052433344857051,0.03283732094868365,0.03293008229935752,0.056268288901040506,0.09365932410005312,0.06244886791882863,0.09946135130563771,-0.005504798915263249
MolWt,0.16781852397723673,0.07234275773971399,0.01653340837183198,0.07696924429398525,-0.04409460863099934,0.02700435879656632,-0.009537947105684369,-0.0011851457991997605,0.03703487565914633,0.006713272040247471,-0.007701546605537183,0.01717820159486955,-0.031557773766011855,0.01744669132859846,-0.003219455661886663,0.02060582837350019,-0.016500848062679985,0.016782608727000034,-0.009100862836191242,-0.041236334008019626,-0.04758228458705156,0.029770519336833084,0.0013606608670787487,-0.01071290094420091,0.028081279173177556,0.011164713398441606,0.011353007633575982,-0.02527044948142311,0.008736936138712813,-0.0032766572231711644,0.04478641884211704,-0.022559153822182834,-0.0372690912783972,-0.019167181488249516,-0.016687244834046017,-0.02359016089055782,0.005496792754422303,-0.02962241844821622,-0.0006769373719660646,-0.011324086981557659,0.01058066661002853,0.014240449323270676,0.006631468874400345,-0.0013527318306166686,-0.017285560890475928
FpDensityMorgan1,-0.09385100846999737,-0.03979628955360426,0.13869713230618652,-0.02426085958441719,0.07393831180239731,0.041776740492328594,0.005606904790215528,0.022653588956240332,-0.10357557207696744,0.0665682597406497,0.000319868755343955,-0.016626282543100578,-0.02302721459482001,0.05442227800026615,0.06566079674058616,-0.05166823313100714,0.059840457816124945,0.0748789501551685,0.21146371719554724,0.0592703362496749,0.12708766328906063,0.045734019040820736,0.012893356357943649,-0.08764714403355864,0.08110990031508292,0.0351993920132779,-0.062488084784589164,-0.15940971570831136,-0.18245558057815203,-0.058339414541660084,0.0524116217627474,0.08744653853321505,0.11236977413914297,-0.005159842580370735,0.09477682978665963,-0.07081102522421165,0.0615254317737987,0.029794585757345803,0.08004092005286229,-0.008337485093775847,0.11868469306880569,0.033140954345227173,0.27853180436044644,-0.0007301890844885334,0.1783420951610108
BCUT2D_MWHI,-0.06545884176551307,0.20968226417518096,0.015147274888487605,0.049039268157757374,-0.053499263531073316,-0.03887797405851662,0.030698289756193875,0.03752436448046741,-0.07989266619773958,0.00036987069953492435,-0.07937772957069603,-0.03718725373030869,-0.058875055131453524,-0.06769926247045141,0.03310766551930208,-0.03357445907623849,-0.11788053812306526,-0.017306220365177483,0.09083082595115977,0.11092350480954011,-0.02983963466669453,-0.017012316132138022,0.09436784041601419,-0.03014440123659943,0.06119292393470618,-0.04860995010825385,0.004962613398383508,0.09590689091777242,0.06201797332872619,-0.007657896684777406,-0.03462976244886393,0.04317335441129387,0.00949049743315486,-0.06543212787045966,-0.03266752883761437,-0.010083324622271506,-0.08393160754155551,0.14894487091761818,-0.012896866911503432,-0.054566075983392956,-0.10823315998617417,-0.09026815406138526,0.06767212491830427,0.12228163035658349,-0.10000152155353836
BCUT2D_CHGHI,-0.05427609149155038,0.12931218342034764,-0.020108533621939387,0.06726500213841591,-0.11675644873229102,-0.0666311158401601,0.03878293881476169,0.05931718684477541,-0.08423586054137222,-0.024098405777032816,-0.004087465436390408,0.06315068226326837,-0.0218589328532981,-0.015881871607059762,-0.015145741143227053,-0.10276977060562509,0.02054416517838037,-0.08256068622507493,0.036541952616544846,0.1573993046067468,-0.0559834411411223,-0.013116207053023493,0.05240666387159411,0.0678791630059972,-0.05894657181849268,0.08979742723910103,-0.03700911284963207,0.038530999434883015,0.2537276940930617,0.1596586932281401,-0.1648000544189453,-0.06949397233138907,-0.12076377051289651,-0.0668653344261774,0.09442818446774208,0.06633235986380497,-0.1595713905916518,-0.24085835270406578,0.08272767089767309,0.15094579034746736,0.15834973613370862,0.25782670785941514,0.3295287871467929,0.05230199975510337,0.14114879988367435
BCUT2D_CHGLO,-0.12286877436423732,0.11732075297107471,0.03454787088336251,-0.009628386402903588,-0.06607033172188087,-0.12391910244572316,0.08560898251055266,-0.08735310883773233,-0.11503439724778572,0.014490976404102976,-0.022504058430948493,0.0967462605564505,-0.06714574330165785,0.030785442750244224,-0.019476128575394006,-0.018807245566184766,0.03367837863642026,-0.04197581552154435,0.03902567550892232,0.07956553699280483,0.02527468758383338,0.026575576668818525,0.022816531848915543,0.00959354132467502,0.0009176565768732395,0.05638086477114844,0.05242689008857042,-0.036062215559066024,0.04626095092898995,0.03321891311933038,0.11147043454431449,-0.04742676295788769,-0.018045066302151136,-0.021698941567311905,-0.10464569832639785,0.020323120992919105,0.010435375646487902,0.05328178150475179,0.012995871825290871,-0.030093144839661707,-0.007249775618484572,-0.09288524856884081,-0.03793116139502793,0.011739852643740695,0.018662173411968824
BCUT2D_LOGPLOW,-0.12359674007203064,0.09090978939564812,-0.036743384079818614,-0.00887846016154481,-0.09383481890648178,-0.11512769086066665,0.12237408193650318,-0.06815680349787077,-0.05823422853728771,0.04158664957948485,0.005165124788697496,0.08002649189444744,-0.0782872970164332,0.03466089531352655,-0.03273127221283034,0.0012890615136815012,0.04517346091275215,-0.017032156056124848,0.03223006302439326,0.05238717634651868,0.020560566224948958,0.09907071294883867,0.011746650296683602,0.06902956383093127,0.0023364514362329333,0.00031416704928915323,0.0650822067784114,-0.09826086296258837,0.04397671097105008,0.02727789727806678,0.1367530805993092,-0.03309530170295287,0.010621041537779707,0.010616637186528582,-0.11609117937782704,0.04109852189847926,0.0028966164420625995,-0.0026653726010088113,-0.06000773869586738,0.0657374044446522,-0.02678808292444689,-0.12158739066324431,-0.08252674290452755,0.029355271559678216,0.08315340086054823
