Descriptor,Model,CV_R2,Test_R2
Combined_pca,Ridge,-0.1321596372543509,-4.077002370150869
Combined_pca,Lasso,0.18183655467525245,-0.05424281956888355
Combined_pca,RandomForest,0.3357116602377285,-0.07903539133883641
Combined_pca,GradientBoosting,0.3991171904831653,-0.608160845943782
Combined_pca,ExtraTrees,0.4016288779860318,0.010652195681800092
Combined_pca,XGBoost,0.21493425721963214,-0.6766461583512198
Combined_pca,LightGBM,0.2709811397856995,-0.4637571565270866
Combined_pca,SVR,0.07998215315481987,-0.28308730081622313
Combined_pca,KNN,0.15860056862072397,-0.6368744651897744
ECFP_pca,Ridge,-2.5884879859412484,-11.848547608300235
ECFP_pca,Lasso,-0.0021341229964028097,-0.31721288116182
ECFP_pca,RandomForest,0.20219053745093954,-0.06715962682317267
ECFP_pca,GradientBoosting,0.15091732354748935,-0.03933145453183484
ECFP_pca,ExtraTrees,0.17158656725230087,-0.27914313038540683
ECFP_pca,XGBoost,0.10329132030428265,-0.10315309894679237
ECFP_pca,LightGBM,0.13393297595751918,-0.3708634825116792
ECFP_pca,SVR,0.06493606402292758,-0.2914402848551352
ECFP_pca,KNN,-0.3179892316071298,-0.3134858410889714
MACCS_pca,Ridge,-0.8797950450809717,-0.024732178777311375
MACCS_pca,Lasso,0.07426222661195463,-0.2468247884608734
MACCS_pca,RandomForest,0.2392583547038682,0.002542441408718621
MACCS_pca,GradientBoosting,0.17767124285091823,-0.008160151722946374
MACCS_pca,ExtraTrees,0.25623232250001193,0.10635191673523214
MACCS_pca,XGBoost,0.11485137557120129,-0.5207977199541254
MACCS_pca,LightGBM,0.13669341214637787,-0.4122082480152398
MACCS_pca,SVR,0.1405109876752697,0.06759224437291533
MACCS_pca,KNN,0.15610940040451626,-0.4267417515943075
MQN_pca,Ridge,0.30446295190574296,-0.6876950919328371
MQN_pca,Lasso,0.11644326907900888,-0.23319639751768695
MQN_pca,RandomForest,0.4470776944711082,-0.01428144409924581
MQN_pca,GradientBoosting,0.47264152941764054,-0.22945157518061343
MQN_pca,ExtraTrees,0.4808834509657503,-0.15085368565319213
MQN_pca,XGBoost,0.41730971405375145,-0.400799603630946
MQN_pca,LightGBM,0.4680726100372602,-0.4738088095822881
MQN_pca,SVR,0.31520606838560805,-0.0806166375965236
MQN_pca,KNN,0.3567313626943591,-0.07668989867399345
Mordred_2D_3D_pca,Ridge,0.16380680105602946,-2.1190747085253805
Mordred_2D_3D_pca,Lasso,0.27531882664997565,0.03520720321785131
Mordred_2D_3D_pca,RandomForest,0.40785039982867166,0.30115287239763
Mordred_2D_3D_pca,GradientBoosting,0.4255989767146028,0.23288026306829623
Mordred_2D_3D_pca,ExtraTrees,0.49483279480966036,0.24174962033642633
Mordred_2D_3D_pca,XGBoost,0.25154744476045077,0.08108556930747746
Mordred_2D_3D_pca,LightGBM,0.37998041434142676,-0.12407437484281636
Mordred_2D_3D_pca,SVR,0.13356166165382402,-0.08639406429708663
Mordred_2D_3D_pca,KNN,0.14658410225972957,-0.2580781450966707
RDKit_2D_pca,Ridge,0.38140162122936155,0.2111016315160853
RDKit_2D_pca,Lasso,0.2587254480373728,0.12319716034978778
RDKit_2D_pca,RandomForest,0.43081054790430107,0.22541011268134492
RDKit_2D_pca,GradientBoosting,0.541967364727891,0.3609444806989396
RDKit_2D_pca,ExtraTrees,0.5528250481601817,0.157853858237057
RDKit_2D_pca,XGBoost,0.3472547175336127,0.20256311065649024
RDKit_2D_pca,LightGBM,0.42709038282355394,0.24637271190954035
RDKit_2D_pca,SVR,0.26258788500916647,0.05238156405980965
RDKit_2D_pca,KNN,0.3364119980511223,0.18526921169193544
