,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68
ABC,0.08990156548322037,0.013636687292736756,0.0028022896051715512,-0.014353376132529556,-0.013993166767456494,-0.004114316197714536,-0.006811079637855753,0.013936479958192888,-0.012733233222591255,-0.009558134350519963,-0.007715116536888243,0.004822716130377276,-0.0044340361083091,0.006909893007201342,0.0018446909592235643,-0.00869113006378235,-0.001971598007095525,0.012990125955700238,0.03273158696461364,0.002819224249621841,0.004245364031611133,-0.0012913292411826766,-0.009361737704173898,0.013424130520139231,-0.00456397031495312,0.008503781628312949,0.0005337044368426445,0.00845522768263471,0.00018818636486219503,0.008455238700514492,-0.008116732574515586,0.0031194619960252658,0.013789136979237442,-0.004749299483085498,0.00035528808560740337,0.003790167605825742,0.008765336407387598,-0.003807615165669533,0.006352920092403462,0.004450403577442546,0.003974409587448416,0.00025346080625101127,-0.006783809924162724,0.0029193808025443947,0.003662932270111525,-0.015472309840527389,-0.005097037910982325,-0.0033240393127593757,-0.004365772302384944,-0.002388034929519098,0.004542373927913363,0.0018134956913615865,0.005768397953117079,-0.0014905581423325471,-0.009807621756940037,0.005322126542660482,-6.129787792988028e-05,-0.004736031255227331,7.475191124801557e-05,-0.0024278541276535753,-0.009981101165412096,0.005638102290769811,0.008513167088329705,0.00042016531912751555,0.0008334623169888734,0.008625833123566788,-0.0018367772247888906,-0.012030739360576158
nAcid,0.016656235444389808,0.020434556438626905,-0.010971118656834577,-0.003932115619350972,-0.0040871307757129076,0.011180865621277876,-0.008963646740042049,-0.030637636491578548,0.02615667341260018,-0.001232437231294898,0.0906765275041501,-0.06466789917582523,0.043506386531877994,0.05125432496956037,-0.005978131725746038,-0.03240599969100629,0.026099773123376305,0.0252776066139066,0.06639990911612255,-0.06686940295257346,-0.03721465161767645,0.025440873344268384,-0.012652925963668097,-0.028268501094737535,-0.019225008937618124,0.017472152507746537,0.031046277802870354,0.08642017017829132,-0.06224046556208192,0.058708230934821796,0.09372752005459571,-0.06605146321566889,0.09702460723917364,-0.0003731275297974737,0.06777162508924454,-0.07160051172607572,0.0485189820967228,-0.006220500338172441,0.028636408029205328,0.010017337713551844,-0.01024026273276179,-0.1320213135739967,0.10874510075616202,-0.033945448500853376,-0.10175901560453725,-0.058904508086527196,0.0053141072530453245,0.028682709639553397,-0.030208808845222035,-0.020075651000735238,-0.0005867497506339726,-0.026869880654524798,0.09414995899635077,-0.05189166910951493,0.010266719277275628,-0.0618076655435516,-0.010970008700500872,-0.030256026016771922,0.0908823721336117,-0.011733303142785347,0.007233148104687516,0.037666794809683476,-0.018378188458467885,0.045563271184605264,-0.03391906111168854,0.023248923306684693,-0.061768353435430606,0.10507682595346216
nBase,-0.017777009036702374,-0.02593602490726145,0.056860075492331325,-0.10824330145840526,-0.022765105014242486,0.027350585889768325,-0.0069512143860650496,0.01924196421532659,0.010108782960977019,-0.014082116181308158,0.007008742233447034,0.00940785497084497,-0.02189843531208262,-0.007391936478891999,0.0196009956454657,-0.04667463280994652,0.016532004698997505,0.03016492342183636,0.003232643756499054,0.007888620790122201,0.011150635761469192,-0.00907241254266608,-0.01019377840157986,0.016644644910561203,0.04686922155318768,-0.0043934272110994965,0.02895016454123457,0.007242523652180166,-0.008910718445453145,-0.0314118391395591,-0.0002497691888981487,-0.05863222712911574,0.016635543150897512,-0.01816826749326059,-0.016745185240199478,-0.002399347422020925,0.06300734025305336,0.043445532504427634,0.04311815479472267,0.01551673463046814,-0.015250613581910245,0.06524694061249448,0.020750193023759297,-0.03848043082513374,-0.017531447460265172,-0.03134582047349158,-0.04816061171072265,0.018988262383626418,-0.026296934524883055,0.028994964609621438,-0.004337064613290024,0.018830112900471818,0.03285894636901372,-0.023060071072570257,-0.07300578118574391,-0.026870049315158274,-0.04683803030162772,-0.026841461815601566,0.02490371139965295,-0.016589954815356907,0.058695377335306,0.008358049297282441,-0.01171478367025585,0.011600697017837181,-0.017822598135750947,-0.0074040000257113514,0.017763255864979014,0.014442663170080187
SpMax_A,0.05651727688830344,0.04118877077714879,-0.015572511452899486,0.0026477815898959763,-0.04974994137316194,-0.022449157521764976,-0.04673539827607469,0.004573325405159293,0.039214062047157945,0.03179001010578607,0.004136788586621504,-0.05945830663285072,-0.03927004172539171,0.0055632482526185864,0.02684228313502144,0.032122981544834846,-0.007942369533078673,0.05925505169835213,-0.00425507431899302,-0.055184353492271784,0.02469857018045277,0.000894606945555914,-0.048231679671981255,0.015556568118431558,0.03845368093734607,0.036332191550181636,-0.01449075944986071,0.00866811390052357,0.053848758213904196,0.025916752744850398,0.01872769742052359,-0.017927957305583234,-0.00978358678266328,-0.004604490148846455,0.004124981640547704,0.02680454905462882,-0.004260800309218156,-0.00960811210920753,-0.05233593390361926,0.004807530790359942,-0.016066960468262278,0.05694932063153622,-0.012485878430699687,0.004950630104858636,0.03305622167005402,-0.008546917345368714,-0.043302687357581984,0.027979838331420388,0.0073290224042390105,0.007076156600438117,-0.020919021563761228,-0.028869482037708293,-0.0006900684026308093,-0.05185909231708983,-0.024271741203738883,-0.014871863202357548,-0.01970080475355339,0.029172701762545595,-0.005565425713026305,-0.01357371619635723,-0.0346829859139446,0.03168096866989341,0.007816780870791898,-0.03308009788812306,0.009192127693121428,-0.021900824943508073,-0.02772507722117636,-0.00663244303784464
VE1_A,0.07601220252590678,0.024459363495668587,-0.012039717463513337,-0.022987341684347597,-0.0023290148473550628,-0.009156775571739014,-0.016945288526956807,-0.0215190415848809,-0.014012814510837796,0.008883114500596437,-0.02252329218795674,0.003994664382401145,-0.009902679042521883,-0.0025949495928441688,0.03742272941442575,0.019306870283754652,-0.019223617300259725,0.027208291790644264,-0.005802117667879847,-0.03758015214673516,0.019963028817376872,-0.06949809954043273,0.009144836749330702,0.006856332477555364,-0.004386779635561581,0.043350952431869386,-0.017528253791077628,0.03710562717489518,0.018830540197784084,0.009158498013125786,-0.007160872712078807,-0.020691660097855353,-0.04061373603218503,0.005052642227227888,-0.04326642464256391,0.01775333003110533,0.04194792177757316,0.03115252245742083,-0.013060494547972852,0.0437501091169493,-0.026928467530065493,-0.003680795461244836,-0.02764518095059935,-0.03366137423116037,0.01527629955155454,-0.03697715071788029,0.028756469365308294,-0.002465188182891448,-0.013645187893475328,-0.021927549785957467,0.03909958108567731,-0.029023848817062978,0.0068493578084065625,0.01934544564284704,-0.002072264810127998,0.0014482157102416677,-0.05458513255403158,0.0071634502030004385,0.01231865392378438,0.06493066832013808,-0.0057569421388197735,-0.04191412425073287,-0.006779510870825039,-0.0050146701748432655,-0.033947753572788356,-0.01794179027775431,-0.004983620048351414,0.01831605931223952
VR1_A,0.05326968674720333,-0.00641285685733439,0.012052479107839652,-0.004231483894889756,-0.027498605340815066,-0.0036522635008285186,-0.0005685619962836529,0.0357641207846953,-0.01185292965265774,-0.026852752920531846,-0.027866800903129287,0.02445801028243382,-0.011562268232378279,-0.013307983839813008,-0.020548441186719696,-0.029114243976584204,-0.00832024300529207,-0.0387667387306783,0.046363655666554815,0.07972461176195214,-0.029092183127887642,0.066114608101371,-0.027414408432978328,0.009265438864864589,0.03739472769195621,-0.0515589584221815,0.003098658690144334,-0.017226743835095537,-0.03749925775626029,0.00729112984479293,-0.00020672298797795246,0.07087333650124851,0.03716844610427969,0.01909153719968371,0.06141782208759409,-0.007791926760388622,-0.01898650305526249,-0.07270475792566398,0.00340190620891807,-0.12241216329817309,-0.0024036041282476895,0.0022672606082598796,0.030953991400474605,0.1062951683023038,-0.01851889238898087,0.17349865069931325,0.011221412585195331,0.01915882623904353,0.03535273650238879,-0.041915254814433776,-0.13353942458752027,-0.004991863089066804,-0.009436184596354348,-0.028591124778790923,-0.0850418960568512,-0.02071826234617577,0.046594121226992594,0.06861566411903669,0.005201834788008967,-0.07387654480872674,0.004830245589380468,0.027286853137708657,-0.0056033113478320675,0.046808924387248055,-0.013791629959590714,-0.10954698648113559,0.036079514338512975,0.013223918119231735
VR3_A,0.08481944867546728,0.016008261272848618,-0.01157452917966151,-0.022413532529640925,0.0036224404979879887,-0.002757315864104247,-0.006877959174530897,0.008545837500680234,-0.007527864007569885,-0.0012491255708482296,-0.0012110899664684468,-0.015270533584024975,0.013757743338292185,0.03119506938001115,0.0004000136537231222,-0.015222773620118514,0.0033195867443693516,0.03980342294652408,0.038139742565314376,-0.0003025119969272881,-0.014864295231954214,0.020269472990435095,-0.015892117187241074,0.02753925158263456,-0.009801413371739709,0.006547421478962019,-0.008950799946239362,-0.014657143178362813,-0.012868270741785034,0.0032129271960281967,-0.03211500864493746,-4.4283122386224415e-05,0.004407013077617748,-0.00403983300140421,-0.007167042625650583,0.00556914794706435,-0.019344217225253275,-0.029517305512314983,-0.01019722953566504,-0.009828203519031962,0.027221461008375646,0.029531157996829784,-0.0029405634418132424,0.047922146835904574,-0.00800228370232613,0.013601655380193034,-0.03742532885398879,-0.01908412218648953,0.005674721550103907,0.01378050429798423,-0.043547628303503935,0.00888329108516318,-0.0030023449741017824,-0.008828184427243082,-0.012560473343670858,0.00417871035833978,0.006186096525193572,0.00484944977414002,-0.010219178482174539,-0.01624015129185324,-0.003956448212766768,0.013507858380159573,0.010491549263041893,0.008142268499123044,0.00806437564512722,-0.02564545334864471,0.015447839511403433,-0.01307942990141466
nAromAtom,0.004183204074105055,0.07458288519691188,-0.09442016280885639,-0.0143043270916968,-0.010653659050939937,0.0002489667236753952,-0.003216317755371745,0.021185870223433594,-0.052813328972704215,-0.02364659182118913,-0.012704138112024766,-0.0034022635956882526,0.006905013627435574,0.018874457919219143,0.008293500184912404,0.006759423733154543,0.02811832173297564,0.007474282141932331,0.012364290967626443,-0.03498688041394912,0.01569885622232499,-0.026195616444560487,-0.004002846748703364,-0.024915182077869927,0.0041159733842678885,0.01346027965044606,-0.02316479937288899,0.0024701816511752584,0.02730854163026979,-0.00811645241822894,-0.0015164832737763736,-0.009432704061176177,0.029279343391128795,0.0032477135029228,0.016713514613292763,-0.012216572139298037,-0.010675920960186444,0.014040615475990791,-0.005243087846601609,0.03338994098959554,-0.0035708739974738353,-0.02445759433680785,0.006461147212025304,0.007942107937651115,0.006568540971278762,-0.011584115398075754,0.007409032030353223,-0.0012629223428098646,-0.007019874021592591,-0.038749362238726444,-0.0015761235303390498,-0.0017642745781873814,0.010770294183220919,0.011426827386697693,0.00663959969682642,0.01101394613548008,0.007692017089113065,-0.018234440299197175,-0.005253118627969503,0.009399247150621577,-0.023463079570135235,0.043989978996750764,0.0018023641495259661,-0.006530604538030754,0.010844560498502732,0.016130248090609697,0.022623486746398372,-0.012147263935796099
nSpiro,0.04097144860811181,-0.011712886099254262,-0.0027231387979722976,-0.00877185683056076,-0.02214166098341144,-0.00970913671592826,-0.028038873915900587,0.03364647914241484,-0.0009146988618263282,0.003231536215520993,-0.011847781734390673,0.017132797486112437,0.009372081096078523,0.0012647718434797548,-0.019335893707323498,0.019015642004609336,-0.011075758996125876,-0.009153352936571917,0.10442900694495881,0.020322882464957857,-0.09554793561337785,0.04276864344973581,-0.03570459767157913,-0.028490955969385175,0.08116659380492729,-0.004144165037366691,-0.07293663556468075,-0.009215007149608868,-0.012916221029336386,0.029125549366482147,0.10420716241403206,-0.0195939911942897,0.08722363089935914,-0.0679230216910961,0.08167949621435051,-0.05453103805564889,-0.01537258657260237,0.020351337762056238,0.14056250088207647,-0.03346121895281367,-0.025197005597724163,-0.040465253396631255,0.12448911973150845,0.013099332075500085,-0.06797865897531348,0.10049999816636705,0.045533069799303015,0.0056210264668639,-0.05895554989121903,-0.04839778138642738,-0.10036590796724736,-0.027042941298656947,0.02963027996817195,-0.022859922899537352,-0.033498419425998884,-0.05941482728123501,0.03027451576617729,-0.0012867666011859744,0.007111489867655186,-0.004373272558541762,0.044391924907193896,-0.030539250394157978,-0.030510705097209163,0.04942323684969558,0.000641277797417411,-0.04848731996596585,0.030228497008708045,0.04151325583971156
nBridgehead,0.04360745746071209,0.007076519765331697,0.010504818606061284,-0.009982409358064107,-0.02744670871052294,-0.007703873693837512,0.006647184778137368,0.019199292132473955,-0.026530799842707908,-0.049612914936957256,-0.02131222643395892,-0.010573387921949196,-0.011494158440777153,-0.057219758967348065,-0.03335765165201464,-0.06343400919863183,0.047667085563178335,-0.03251953332251169,0.04408105101537672,0.012322930806967565,0.11329053766494618,0.09552347416449486,-0.02201144583991494,0.029240974929672425,-0.03854581614283073,-0.06985931994374532,-0.06663151448275945,-0.05393982993144207,-0.008736643536481126,-0.04016602400051871,-0.021700913679717885,0.08973716574355368,-0.021524128834846674,0.014384310546333717,0.06356113936868807,-0.03077686960427435,-0.07555670508701401,-0.09616571177154054,0.008574897840293525,-0.05409118906889629,0.020125794579104322,-0.009132272023251935,-0.05491232759173285,0.01429424906809281,-0.028680923976995874,0.04717255293296652,-0.03728028000560608,-0.008857564175308663,0.010665115624213016,0.04811672878008834,-0.04191053927826735,-0.011304944780783418,-0.06049338846996461,-0.05112648948056511,-0.05485363294438818,-0.022595805378086475,0.05168388587471343,-0.01783988084276832,0.0712654209487475,-0.04370561733858122,0.03058415102527112,-0.016553706011417983,-0.03994329450694005,0.028845049222104846,-0.014649334325027168,-0.038954131984710795,-0.03399525001366558,-0.0021424964019761458
